Designator,Footprint,Quantity,Value,LCSC Part #
D1,0805,1,12v,
D2,0805,1,6v,
D3,0805,1,beacon,
D4,LED_D5.0mm,1,beacon,
EC1,CP_Radial_D13.0mm_P5.00mm,1,1000uF,
EC2,CP_Elec_6.3x7.7,1,220u,
M2,servo-PinHeader_1x03_P2.54mm_Vertical,1,Servo,
R1,0805,1,2k2,
"R2, R3, R4",0805,3,1k,
U2,TO-263-2,1,L7806,
