Designator,Mid X,Mid Y,Rotation,Layer
D1,180.0,-82.275,90.0,top
D2,183.5,-82.275,90.0,top
D3,147.5,-80.975,90.0,top
D4,146.5,-74.77,270.0,top
EC1,177.9,-61.8,180.0,top
EC2,150.0,-88.55,270.0,top
J2,165.6258,-81.7542,0.0,top
J3,160.19,-63.475,270.0,top
M2,182.0,-73.54,0.0,top
R1,180.0,-88.6,270.0,top
R2,183.5,-88.6,90.0,top
R3,152.0,-81.0,90.0,top
R4,152.0,-75.0,90.0,top
U2,165.75,-87.625,270.0,top
